hooker;;;;x;;x
jog;;;;;x;
imperfection;;;x;;;x
tbh;;;;x;;
lithe;;;;;;x
flee;;;;;x;
aptitude;;;x;;;
vain;;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
well-written;;;;;;x
jk;;;;x;;
ecstatic;;;;;;x
revelry;x;x;;;;
bff;;;;x;;
finalize;;;x;;;
fag;;;;x;;x
associate;;;;;;
intrinsic;;;x;;;
diversify;;x;;;;
fab;;;;x;;x
pussy;;;;x;;x
plenipotentiary;x;;;;;
foreboding;x;;;;;x
elixir;x;;;;;
contingent;;;x;;;
well-dressed;;;;;;x
beset;x;;;;;
conduct;;;x;;;
ordnance;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
wherefore;x;;;;;
shoulda;;;;x;;x
incidental;;;x;;;
kinda;;;;x;;x
squash;;;;x;;
behemoth;x;;;;;x
brutal;;;;;;x
mechanism;;;x;;;
monkey;;;;;x;
orgasmic;;;;;;x
denouement;x;;;;;
wuss;;;;x;;x
expedient;;;x;;;x
feet;;;;;x;
dodgy;;;;x;;x
category;;;x;;;
fam;;;;x;;
swing;;;;;x;
objectionable;;;x;;;x
autocratic;;x;x;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
jocular;x;;;;;x
waive;;;x;;;
auspicious;x;;;;;x
horrible;;;;;;x
dick;;;;x;;x
mortify;;;;;;x
slut;;;;x;;x
circulate;;;x;;;
stylized;;;x;;;x
abbreviate;;;x;;;
thence;x;;;;;
kook;;;;x;;x
swoon;x;;;;;
rooster;;;;;x;
klutz;;;;x;;x
juggle;;;;;x;
skepticism;;;x;;;
spoon;;;;;x;
patriarchal;;x;x;;;
mesmerizing;x;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
trove;x;;;;;
scab;;;;x;x;
ancillary;;;x;;;
sharp-tongued;;;;;;x
abhor;x;;;;;x
slacker;;;;x;;x
wizened;x;;;;;x
clock;;;;;x;
kiss;;;;;x;
philanthropic;;x;x;;;
skank;;;;x;;x
unlistenable;;;;;;x
adverse;;;x;;;
prevarication;;;x;;;x
chaste;;;;;;x
elongate;;;x;;;
well-produced;;x;;;;x
puke;;;;x;;x
reticent;;;x;;;
owl;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
beloved;;;;;;x
ahole;;;;x;;x
rainy;;;;;x;
commit;;;x;;;
scratch;;;;;x;
redress;;x;x;;;
ly;;;;x;;x
wussy;;;;x;;x
wtf;;;;x;;x
tenet;;;x;;;
adjacent;;;x;;;
valor;;x;;;;
disastrous;;;;;;x
plz;;;;x;;
innovative;;;x;;;
stumble;;;;;x;
miraculous;;;;;;x
concussion;;;;;x;
sprout;;;;;x;
top-notch;;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
assent;;;x;;;
grubby;;;;x;;x
alienation;;x;x;;;
association;;x;;;;
differentiate;;;x;;;
feign;x;;;;;
vocation;;x;x;;;
androgynous;;x;x;;;
banal;;;x;;;x
homosexual;;x;x;;;
elaborate;;;;;;x
totality;;x;x;;;
increase;;;x;;;
deceased;;;x;;;
fork;;;;;x;
gun;;;;;x;
fey;;;;x;;x
afro;;;;x;;
capable;;;x;;;x
horny;;;;x;;x
word;literary;abstract;objective;colloquial;concrete;subjective
structure;;x;x;;;
enthusiastic;;;;;;x
carrot;;;;;x;
app;;;;x;;
profitable;;x;x;;;
slurp;;;;;x;
hand;;;;;x;
whilst;x;;;;;
gorgeous;;;;;;x
wank;;;;x;;x
implicit;;;x;;;
idiosyncrasy;;;;;;
residence;;;x;;;
sunny;;;;;x;x
intellect;;x;;;;
twirl;;;;;x;
permissive;;x;;;;x
moo;;;;x;;
atm;;;;x;;
recess;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
sorta;;;;x;;x
delicious;;;;;;x
dude;;;;x;;x
convo;;;;x;;
booze;;;;x;;
nm;;;;x;;x
dreamy;;;;;;x
shove;;;;;x;x
expunge;;x;x;;;
notable;;;;;;x
paramour;x;;;;;x
composite;;;;;;
impermeable;;;x;;;
shoe;;;;;x;
fav;;;;x;;x
profession;;x;x;;;
supreme;;;;;;x
spotless;;;;;x;x
ethereal;x;x;;;;x
asap;;;;x;;
word;literary;abstract;objective;colloquial;concrete;subjective
moose;;;;;x;
mantle;x;;;;;
beckon;x;;;;;
extrinsic;;;x;;;
conglomeration;;x;;;;
perverse;;;;;;x
counterbalance;;;x;;;
assimilate;;x;x;;;
habitation;;;x;;;
btw;;;;x;;
jacket;;;;;x;
mic;;;;x;x;
gimme;;;;x;;
absorbing;;;;;;x
talisman;;x;;;;
exquisite;;;;;;x
drugged-out;;;;x;;x
thrice;x;;;;;
bugger;;;;x;;x
endearing;;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
horde;x;;;;;
accommodation;;;x;;;
wily;;;;;;x
hell;;;;x;;x
wan;x;;;;;
proxy;;;x;;;
compensation;;;x;;;
blueberry;;;;;x;
pallid;x;;;;;x
sis;;;;x;;
infrequent;;;x;;;
toss;;;;;x;
twain;x;;;;;
wimp;;;;x;;x
ugly;;;;;;x
diabolical;x;;;;;x
slammer;;;;x;;
gig;;;;x;;
babe;;;;x;;x
covenant;x;x;;;;
word;literary;abstract;objective;colloquial;concrete;subjective
loser;;;;x;;x
scream;;;;;x;x
fundamental;;;x;;;
accumulate;;;x;;;
bbs;;;;x;;
pinch;;;;;x;
impediment;;;x;;;
cuz;;;;x;;
godawful;;;;x;;x
approbation;;;x;;;x
whence;x;;;;;
kindle;x;;;;;
bark;;;;;x;
embitter;x;;;;;x
instruct;;;x;;;
expatriate;;x;x;;;
car;;;;;x;
sooth;x;;;;;
slap;;;;;x;x
irreproachable;x;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
demoralize;;x;x;;;
growl;;;;;x;
sensational;;;;;;x
imho;;;;x;;x
circumspect;;;x;;;
wayward;x;x;;;;
spook;;;;x;;x
pristine;;;;;;x
wisdom;;x;;;;
keyboard;;;;;x;
thx;;;;x;;
controversy;;;x;;;
well-made;;;;;;x
push;;;;;x;
worthless;;;;;;x
anon;x;;;;;
impeccable;;x;;;;x
yore;x;;;;;
primeval;;x;x;;;
windy;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
u;;;;x;;
kitty;;;;x;x;
actual;;;x;;;
extemporaneous;x;;x;;;
flaky;;;;x;;x
formulate;;;x;;;
fuck;;;;x;;x
abstinence;;x;x;;;
whack;;;;x;;x
passion;;;;;;x
urchin;;;;;;x
organization;;x;x;;;
filthy;;;;;;x
kaput;;;;x;;x
frolic;x;;;;;
constrain;;;x;;;
unsullied;;x;x;;;x
plausible;;x;x;;;
hair;;;;;x;
moon;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
heretic;x;;;;;x
wonk;;x;;x;;x
shovel;;;;;x;
oven;;;;;x;
sky;;;;;x;
arse;;;;x;;x
equivocal;;;x;;;x
archetype;;x;;;;
worthy;;;;;;x
ere;x;;;;;
delusional;;;;;;x
academia;;x;;;;
syndrome;;x;;;;
ltr;;;;x;;
broccoli;;;;;x;
lamp;;;;;x;
enjoyable;;;;;;x
appearance;;;x;;;
sol;;;;x;;x
disorder;;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
disheveled;;;x;;;x
punch;;;;;x;x
ic;;;;x;;
adjourn;;;x;;;
endowment;;x;x;;;
well-researched;;x;x;;;
element;;x;x;;;
inquisition;;x;x;;;
hostile;;;;;;x
aspersion;x;;;;;x
doctrine;;x;;;;
f2f;;;;x;;
partisan;;x;;;;
venomous;;;;;;x
cede;x;;;;;
abrasive;;;;;;x
waylaid;x;;;;;
squeak;;;;;x;
depraved;;x;;;;x
horrid;;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
incision;;;;;x;
rofl;;;;x;;
panacea;x;;;;;
smite;x;;;;;
shriek;;;;;x;x
marginal;;;x;;;
roll;;;;;x;
doggy;;;;x;;
symbolize;;x;;;;
vale;x;;;;;
yon;x;;;;;
dickhead;;;;x;;x
beyond;;;;;x;
contradictory;;;x;;;
mayhaps;x;;;;;
implement;;;x;;;
lest;x;;;;;
mediate;;x;x;;;
acclaimed;;;x;;;x
insolence;;;x;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
pleasing;;;;;;x
skirt;;;;;x;
verdant;x;;;;;
imbue;x;;;;;
approximately;;;x;;;
comprise;;;x;;;
malicious;;;;;;x
dispassionate;;;x;;;
pee;;;;x;;
excellent;;;;;;x
strawberry;;;;;x;
airhead;;;;x;;x
wanna;;;;x;;x
laud;x;;;;;
bogey;x;;;;;
narrative;;x;;;;
sumptuous;x;;;;;x
hither;x;;;;;
snarl;;;;;x;
hitherto;x;;;;;
word;literary;abstract;objective;colloquial;concrete;subjective
ancestry;;x;x;;;
insolvent;;x;x;;;
apprise;;;x;;;
populace;;;x;;;
whisper;;;;;x;
repent;;x;;;;
reek;;;;;x;x
chauvinism;;x;;;;x
occur;;;x;;;
deduction;;;x;;;
loveable;;;;;;x
coalesce;;;x;;;
hanger;;;;;x;
forgo;x;;x;;;
ur;;;;x;;
gtr;;;;x;;
jar;;;;;x;
transient;x;;x;;;
meds;;;;x;;
aperture;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
ttys;;;;x;;
precursor;;x;x;;;
weep;;;;;x;x
wanton;x;;;;;x
significance;;x;x;;;
communicable;;;x;;;
knave;x;;;;;
blah;;;;x;;
juice;;;;;x;
goof;;;;x;;x
socks;;;;;x;
constituent;;;x;;;
ttyl;;;;x;;
worst;;;;;;x
bray;x;;;;;
artisan;;;;;x;
hock;;;;x;;
chirp;;;;;x;
haste;x;;;;;
fourth-rate;;x;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
freeze;;;;;x;
potato;;;;;x;
nerd;;;;x;;
splendid;;;;;;x
anathema;;x;x;;;
inaugurate;;;x;;;
sand;;;;;x;
mouse;;;;;x;
monstrous;;;;;;x
pedantic;;x;;;;x
freak;;;;x;;x
crappy;;;;x;;x
underwear;;;;;x;
encircle;x;;;;;
prestigious;;x;;;;x
translucent;;;x;;x;
mandatory;;;x;;;
dismal;;;;;;x
neato;;;;x;;x
occupation;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
drool;;;;x;;x
skeletal;;;;;x;
screw-up;;;;x;;
axiom;;x;x;;;
first-rate;;;;;;x
abusive;;;;;;x
conflagration;x;;;;;
betwixt;x;;;;;
sml;;;;x;;
fyi;;;;x;;
unacceptable;;;x;;;x
gratuity;;;x;;;
smoosh;;;;x;;
mere;x;;;;;
inexcusable;;x;x;;;x
extraordinary;;;;;;x
ym;;;;x;;
lmao;;;;x;;
bastard;;;;x;;x
friendly;;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
cuddle;;;;x;;x
deluxe;;;;;;x
specialization;;x;;;;
squall;;;;;x;
congruent;;;x;;;
kick;;;;;x;
categorize;;;x;;;
rue;x;;;;;x
ass;;;;x;;x
cunt;;;;x;;x
quilt;;;;;x;
revolting;;;;;;x
imao;;;;x;;x
publish;;x;;;;
differ;;;x;;;
fleeting;x;;;;;
racist;;x;;;;x
reminisce;x;;;;;
tidings;x;;;;;
profane;x;;x;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
resound;x;;;;;
painful;;;;;;x
gaunt;x;;;;;
criterion;;x;x;;;
climate;;x;;;;
flick;;;;x;;
elation;;;x;;;
frangible;;;x;;;
cur;x;;;;;x
humanity;;x;;;;
fwb;;;;x;;
nonchalant;;x;;;;x
solely;;;x;;;
scam;;;;x;;x
crawl;;;;;x;
enthralling;x;;;;;x
grievous;x;;;;;x
trampoline;;;;;x;
couch;;;;;x;
agriculture;;x;;;;
word;literary;abstract;objective;colloquial;concrete;subjective
assemblage;;;x;;;
damsel;x;;;;;
apparition;x;;x;;;
stinky;;;;x;;x
verse;;;;;x;
covet;x;;;;;x
exciting;;;;;;x
fortunate;;;x;;;x
disciple;x;x;;;;
carbs;;;;x;;
vagabond;x;;;;;
glorious;;;;;;x
verbose;;;x;;;
encroach;;;x;;;
asshole;;;;x;;x
bozo;;;;x;;x
stellar;;;;;;x
gonna;;;;x;;
ensue;;;x;;;
ratify;;x;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
wail;x;;;;x;x
humanitarian;;x;;;;
congenital;;x;x;;;
forthwith;x;;;;;
succour;x;;;;;
beneath;;;;;x;
flip;;;;;x;
oligarchic;;x;x;;;
belie;x;;x;;;
rake;;;;;x;
affinity;;;x;;;
oft;x;;;;;
reserved;;x;x;;;x
panda;;;;;x;
dreary;;;;;;x
lamppost;;;;;x;
allegiance;;x;;;;
discontinue;;;x;;;
cucumber;;;;;x;
spider;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
zucchini;;;;;x;
expectation;;;x;;;
sew;;;;;x;
cushy;;x;;x;;
barter;;x;;;;
outermost;;;x;;;
drip;;;;;x;
well-acted;;x;;;;x
wipe;;;;;x;
injunction;;x;x;;;
malevolent;x;;;;;x
eminent;;;x;;;
travail;x;;;;;
trademark;;x;;;;
insulting;;;;;;x
snow;;;;;x;
mannerism;;;;;x;
dote;x;;;;;
ear;;;;;x;
omit;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
afield;x;;;;;
attribute;;;x;;;
bullshit;;;;x;;x
plunger;;;;;x;
explicit;;;x;;;
mailbox;;;;;x;
forevermore;x;;;;;
champ;;;;x;;
reactionary;;x;;;;
lousy;;;;x;;x
wile;x;;;;;
jubilant;x;;;;;x
puissant;x;;;;;
consecrate;;;x;;;
ingrain;;;x;;;
bonk;;;;x;;x
fox;;;;;x;
suck;;;;x;;x
velocity;;x;;;;
assignment;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
procedure;;x;x;;;
balls-up;;;;x;;x
hue;;;x;;x;
secular;;x;x;;;
legitimate;;x;x;;;
denomination;;x;x;;;
wannabe;;;;x;;x
indigenous;;x;x;;;
cya;;;x;;;
pleasant;;;;;;x
jurisdiction;;x;x;;;
awful;;;;;;x
carnal;;;;;;x
apeshit;;;;x;;x
inhabit;;;x;;;
betrothed;x;x;;;;
nuke;;x;;x;;x
dork;;;;x;;x
glitch;;;;x;;
erase;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
cognizant;;;x;;;
dazzling;;;;;;x
delineate;;;x;;;
radish;;;;;x;
bean;;;;;x;
legendary;;;;;;
superior;;;x;;;
loathe;x;;;;;x
craven;x;;;;;x
marvelous;;;;;;x
amazing;;;;;;x
rejuvenation;;;x;;;
adjunct;;x;x;;;
coexistence;;x;x;;;
sallow;x;;;;;x
bro;;;;x;;x
sojourn;x;;;;;
crap;;;;x;;x
nasty;;;;x;;x
cock;;;;x;;x
word;literary;abstract;objective;colloquial;concrete;subjective
repulsive;;;;;;x
bonehead;;;;x;;x
ecclesiastic;;x;;;;
spacious;;;;;x;
innate;;x;x;;;
poignant;;;x;;;x
incredible;;;;;;x
vindicate;;;x;;;
elegant;;;;;;x
enviable;;;;;;x
grub;;;;x;;
glam;;;;x;;
apace;x;;;;;
respite;x;;;;;
terrible;;;;;;x
fraught;x;;;;;x
melodious;x;;;;;x
bender;;;;x;;
notorious;;;;;;
acquaintance;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
synthetic;;x;;;;
coulda;;;;x;;
subsidiary;;x;;;;
bum;;;;x;;
tomato;;;;;x;
piano;;;;;x;
attorney;;x;;;;
pampered;;;;;;x
compose;;;x;;;
pear;;;;;x;
boat;;;;;x;
shun;;;;;;x
animate;;;x;;;
spread;;;;;x;
tmi;;;;x;;
hence;x;;;;;
lizard;;;;;x;
conspiracy;;x;;;;x
sacrilege;x;x;;;;x
veg;;;;x;;
word;literary;abstract;objective;colloquial;concrete;subjective
atrocious;x;;;;;x
nostalgic;;x;;;;x
grotesque;x;;;;;x
caricature;;;;;x;
unmatched;;;x;;;
mete;x;;x;;;
grass;;;;;x;
facsimile;;;x;;;
obscene;;;;;;x
wall;;;;;x;
nary;x;;;;;
shrug;;;;;x;
faucet;;;;;x;
enchanting;x;;;;;x
sharpener;;;;;x;
tarry;x;;;;;
shit;;;;x;;x
initiate;;;x;;;
scurry;;;;;x;
sire;x;;;;;
word;literary;abstract;objective;colloquial;concrete;subjective
altruism;;x;;;;
discourse;;;x;;;
aesthetic;;;x;;;
butt;;;;x;;
seethe;x;;;;;x
miscellaneous;;;x;;;
beseech;x;;;;;
cadaver;x;;;;;
bird;;;;;x;
acumen;;;x;;;
subside;;;x;;;
wicked;;;;;;x
allocate;;;x;;;
odious;x;;;;;x
misdemeanor;;x;x;;;
rock;;;;;x;
tit;;;;x;;x
lol;;;;x;;x
miserable;;;;;;x
neigh;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
yoke;x;;;;;
dalliance;x;;;;;
dregs;;;;x;;x
driveway;;;;;x;
shoot;;;;;x;
ceremonial;;x;;;;
leaves;;;;;x;
awesome;;;;;;x
ethical;;x;x;;;
headache-inducing;;;;;;
proceed;;;x;;;
cock-up;;;;x;;x
induction;;x;;;;
ordinance;;x;;;;
trait;;;x;;;
pitiful;;;;;;x
fantastic;;;;;;x
yonder;x;;;;;
catastrophic;x;;;;;x
suit;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
thither;x;;;;;
utmost;x;;;;;
perdition;x;;;;;
bummer;;;;x;;x
peripheral;;;;;;
heritage;;x;;;;
curtain;;;;;x;
bigotry;;x;;;;
stylish;;;;;;x
operation;;;x;;;
patriotism;;x;;;;
hew;x;;;;;
dope;;;;x;;
crotch;;;;x;;
forsooth;x;;;;;
flotsam;x;;;;;
pull;;;;;x;
whore;;;;x;;x
fascinating;;;;;;x
comely;x;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
laugh;;;;;x;x
gossamer;x;;;;;
bestow;x;;;;;
favorite;;;;;;x
deranged;;;;;;x
adherent;;x;x;;;
well-placed;;;;;;x
impressive;;;;;;x
virtue;;x;;;;
mouth-watering;;;;;;x
irony;;x;;;;
refreshing;;;;;;x
generation;;x;;;;
philosophy;;x;;;;
incriminate;;;x;;;
mooch;;;;x;;
sneeze;;;;;x;
mournful;;;;;;x
cool-looking;;;;;;x
dicey;;;;x;;
word;literary;abstract;objective;colloquial;concrete;subjective
frog;;;;;x;
timely;;;;;;x
diseased;;;x;;;
refined;;;;;;x
applicable;;;x;;;
heedless;x;;;;;
bosom;x;;;;;
delightful;;;;;;x
bee;;;;;x;
correspond;;;x;;;
correlate;;;x;;;
detestable;;;;;;x
dive;;;;;x;
forswear;x;;;;;
heterogeneous;;;x;;;
sequence;;;x;;;
thwart;x;;;;;
request;;;x;;;
fool;;;;;;x
aught;x;;;;;
word;literary;abstract;objective;colloquial;concrete;subjective
radiant;;;;;x;x
horrific;;;;;;x
con;;;;x;;
gallop;;;;;x;
audit;;x;;;;
lmfao;;;;x;;x
euphemism;;x;x;;;
provisional;;;x;;;
scrumptious;;;;x;;
signify;;;x;;;
progression;;;x;;;
biz;;;;x;;
requisition;;x;;;;
forsake;x;x;;;;
cry;;;;;x;x
heed;x;;;;;
holy;;x;;;;
testify;;;x;;;
sickening;;;;;;x
pigeonhole;;x;;;;
word;literary;abstract;objective;colloquial;concrete;subjective
behold;x;;;;x;
